id,word,gloss,WordStatus
332,Baal," master; lord",1
333,Baalah," her idol; she that is governed or subdued; a spouse",1
334,Baalath," a rejoicing; our proud lord",1
335,Baalath-beer, subjected pit,1
336,Baal-berith, idol of the covenant,1
337,Baale, same as Baalath,1
338,Baal-gad, idol of fortune or felicity,1
339,Baal-hamon, who rules a crowd,1
340,Baal-hermon, possessor of destruction or of a thing cursed,1
341,Baali," my idol; lord over me",1
342,Baalim," idols; masters; false gods",1
343,Baalis," a rejoicing; a proud lord",1
344,Baal-meon, idol or master of the house,1
345,Baal-peor, master of the opening,1
346,Baal-perazim, god of divisions,1
347,Baal-shalisha," the god that presides over three; the third idol",1
348,Baal-tamar, master of the palm-tree,1
349,Baal-zebub, god of the fly,1
350,Baal-zephon," the idol or possession of the north; hidden; secret",1
351,Baanah," in the answer; in affliction",1
352,Baara," a flame; purging",1
353,Baaseiah," in making; in pressing together",1
354,Baasha, he that seeks,1
355,Babel," confusion; mixture",1
356,Babylon, same as Babel,1
357,Baca, a mulberry-tree,1
358,Bahurim," choice; warlike; valiant",1
359,Bajith, a house,1
360,Balaam," the ancient of the people; the destruction of the people",1
361,Baladan, one without judgment,1
362,Balak, who lays waste or destroys,1
363,Bamah, an eminence or high place,1
364,Barabbas, son of shame,1
365,Barachel, that bows before God,1
366,Barachias, same as Barachel,1
367,Barak, thunder,1
368,Barjesus, son of Jesus or Joshua,1
369,Barjona," son of a Jona; of a dove",1
370,Barnabas, son of the prophet,1
371,Barsabas," son of return; son of rest",1
372,Bartholomew, a son that suspends the waters,1
373,Bartimeus, son of the honorable,1
374,Baruch, who is blessed,1
375,Barzillai," son of contempt; made of iron",1
376,Bashan, in the tooth,1
377,Bashemath," perfumed; confusion of death; in desolation",1
378,Bathsheba," the seventh daughter; the daughter of satiety",1
379,Bathsuha, same as Bathsheba,1
380,Bealiah," the god of an idol; in an assembly",1
381,Bealoth, cast under,1
382,Bebai, void,1
383,Becher," first begotten; first fruits",1
384,Bechorath, first fruits,1
385,Bedad," alone; solitary",1
386,Bedaiah, Bedeiah,1
387,Bedan, according to judgment,1
388,Beeliada, an open idol,1
389,Beelzebub, same as Baalzebub,1
390,Beer, a well,1
391,Beera," a well; declaring",1
392,Beerelim, the well of Elim,1
393,Beeri, my well,1
394,Beer-lahai-roi, the well of him that liveth and seeth me,1
395,Beeroth," wells; explaining",1
396,Beersheba," the well of an oath; the seventh well",1
397,Behemoth, beasts,1
398,Bekah, half a shekel,1
399,Belah, destroying,1
400,Belial, wicked,1
401,Belshazzar, master of the treasure,1
402,Belteshazzar, who lays up treasures in secret,1
403,Ben, a son,1
404,Benaiah, son of the Lord,1
405,Ben-ammi, son of my people,1
406,Beneberak, sons of lightning,1
407,Bene-jaakan, sons of sorrow,1
408,Benhadad, son of Hadad,1
409,Benhail, son of strength,1
410,Benhanan, son of grace,1
411,Benjamin, son of the right hand,1
412,Benimi, our sons,1
413,Beno, his son,1
414,Benoni, son of my sorrow,1
415,Benzoheth, son of separation,1
416,Beon, in affliction,1
417,Beor," burning; foolish; mad",1
418,Bera," a well; declaring",1
419,Berachah," blessing; bending the knee",1
420,Berachiah, speaking well of the Lord,1
421,Beraiah, the choosing of the Lord,1
422,Berea," heavy; weighty",1
423,Bered, hail,1
424,Beri," my son; my corn",1
425,Beriah," in fellowship; in envy",1
426,Berith, covenant,1
427,Bernice, one that brings victory,1
428,Berodach-baladan, the son of death,1
429,Berothai," wells; a cypress",1
430,Berothath, of a well,1
431,Besai," a despising; dirty",1
432,Besodeiah, counsel of the Lord,1
433,Besor," glad news; incarnation",1
434,Betah, confidence,1
435,Beten, belly,1
436,Bethabara, the house of confidence,1
437,Bethanath, house of affliction,1
438,Bethany," the house of song; the house of affliction",1
439,Betharabah, house of sweet smell,1
440,Beth-aram, house of height,1
441,Beth-aven," the house of vanity; of iniquity of trouble",1
442,Beth-baalmeon, an idol of the dwelling-place,1
443,Beth-barah, the chosen house,1
444,Beth-birei, the house of my Creator,1
445,Beth-car, the house of the lamb,1
446,Beth-dagon, the house of corn,1
447,Beth-diblathaim, house of dry figs,1
448,Beth-el, the house of God,1
449,Bethemek, house of deepness,1
450,Bether, division,1
451,Bethesda, house of pity or mercy,1
452,Beth-gader, a house for a mouse,1
453,Beth-gamul, house of recompense,1
454,Beth-haccerem, house of the vineyard,1
455,Beth-haran, house of grace,1
456,Beth-horon, house of wrath,1
457,Beth-lebaoth, house of lionesses,1
458,Beth-lehem, house of bread,1
459,Beth-marcaboth, house of bitterness wiped out,1
460,Beth-meon, house of the dwelling-place,1
461,Beth-nimrah, house of rebellion,1
462,Beth-palet, house of expulsion,1
463,Beth-pazzez, house of dividing asunder,1
464,Beth-peor, house of gaping,1
465,Bethphage, house of my month,1
466,Beth-phelet, same as Beth-palet,1
467,Beth-rapha, house of health,1
468,Bethsaida, house of fruits,1
469,Bethshan, Beth-shean,1
470,Beth-shemesh, house of the sun,1
471,Bethuel, filiation of God,1
472,Beth-zur, house of a rock,1
473,Betonim, bellies,1
474,Beulah, married,1
475,Bezai, eggs,1
476,Bezaleel, in the shadow of God,1
477,Bezek," lightning; in the chains",1
478,Bezer, vine branches,1
479,Bichri," first-born; first fruits",1
480,Bidkar, in compunction,1
481,Bigthan," in the press; giving meat",1
482,Bigvai, in my body,1
483,Bildad, old friendship,1
484,Bileam," the ancient of the people; the devourer",1
485,Bilgah, ancient countenance,1
486,Bilhah, Bilhan,1
487,Bilshan, in the tongue,1
488,Binea, son of the Lord,1
489,Binnui, building,1
490,Birsha," an evil; a son who beholds",1
491,Bishlam, in peace,1
492,Bithiah, daughter of the Lord,1
493,Bithron, divisions,1
494,Bithynia, violent precipitation,1
495,Bizjothjah, despite,1
496,Blastus, that buds or brings forth,1
497,Boanerges, son of thunder,1
498,Boaz, or Booz,1
499,Bocheru, the first born,1
500,Bochim," the place of weeping; or of mulberry-trees",1
501,Bohan, in them,1
502,Boskath, in poverty,1
503,Boson, taking away,1
504,Bozez," mud; bog",1
505,Bozrah, in tribulation or distress,1
506,Bukki, void,1
507,Bukkiah, the dissipation of the Lord,1
508,Bul," old age; perishing",1
509,Bunah," building; understanding",1
510,Bunni, building me,1
511,Buz," despised; plundered",1
512,Buzi, my contempt,1
513,Cabbon, as though understanding,1
514,Cabul," displeasing; dirty",1
515,Caiphas," he that seeks with diligence; one that vomiteth",1
516,Cain, possession,1
517,Cainan," possessor; purchaser",1
518,Calah," favorable; opportunity",1
519,Calcol, nourishing,1
520,Caleb," a dog; a crow; a basket",1
521,Caleb-Ephratah, see Ephratah,1
522,Calneh, our consummation,1
523,Calno," our consummation; altogether himself",1
524,Calvary, the place of a skull,1
525,Camon, his resurrection,1
526,Cana," zeal; jealousy; possession",1
527,Canaan," merchant; trader; or that humbles and subdues",1
528,Candace, who possesses contrition,1
529,Capernaum," the field of repentance; city of comfort",1
530,Caphtor, a sphere,1
531,Cappadocia, the same as Caphtor,1
532,Carcas, the covering of a lamb,1
533,Charchemish," a lamb; as taken away; withdrawn",1
534,Careah," bald; ice",1
535,Carmel," circumcised lamb; harvest; full of ears of corn",1
536,Carmi," my vineyard; lamb of the waters",1
537,Carpus," fruit; fruitful",1
538,Carshena," a lamb; sleeping",1
539,Casiphia," money; covetousness",1
540,Casluhim, hopes of life,1
541,Cedron," black; sad",1
542,Cenchrea," millet; small pulse",1
543,Cephas, a rock or stone,1
544,Cesar, a name applied to those who are cut out of the womb,1
545,Chalcol, who nourishes,1
546,Chaldea, as demons,1
547,Charran, a singing or calling out,1
548,Chebar, force or strength,1
549,Chedorlaomer, roundness of a sheaf,1
550,Chelal, as night,1
551,Chelub, a basket,1
552,Chelluh, all,1
553,Chelubai, he altogether against me,1
554,Chemarims, black ones,1
555,Chemosh," handling; stroking; taking away",1
556,Chenaanah, broken in pieces,1
557,Chenani, my pillar,1
558,Chenaniah, preparation,1
559,Chephirah, a little lioness,1
560,Cheran, anger,1
561,Cherethims, Cherethites,1
562,Cherith," cutting; piercing; slaying",1
563,Chesed, as a devil,1
564,Chesil, foolishness,1
565,Chesulloth, fearfulness,1
566,Chidon, a dart,1
567,Chiliab," totality; or the perfection of the father",1
568,Chilion," finished; complete; perfect",1
569,Chilmad, teaching or learning,1
570,Chimham," as they; like to them",1
571,Chios," open; opening",1
572,Chisleu, Cisleu,1
573,Chislon, hope,1
574,Chisloth-tabor," fears; purity",1
575,Chittem," those that bruise; gold",1
576,Chloe, green herb,1
577,Chorazin," the secret; here is a mystery",1
578,Chozeba, men liers in wait,1
579,Christ, anointed,1
580,Chun, making ready,1
581,Chushan-rishathaim, blackness of iniquities,1
582,Chuza, the seer or prophet,1
583,Cilicia, which rolls or overturns,1
584,Cis, same as Kish,1
585,Clauda, a lamentable voice,1
586,Claudia, Claudius,1
587,Clement," mild; good; merciful",1
588,Cleophas, the whole glory,1
589,Cnidus, age,1
590,Colhozeh, every prophet,1
591,Colosse," punishment; correction",1
592,Coniah, strength of the Lord,1
593,Coos, top,1
594,Corinth," which is satisfied; ornament; beauty",1
595,Cornelius, of a horn,1
596,Cosam, divining,1
597,Coz, a thorn,1
598,Cozbi," a liar; sliding away",1
599,Crescens," growing; increasing",1
600,Crete," carnal; fleshly",1
601,Crispus, curled,1
602,Cush, Cushan,1
603,Cuth, Cuthah,1
604,Cyprus," fair; fairness",1
605,Cyrene," a wall; coldness; the floor",1
606,Cyrenius, who governs,1
607,Cyrus," as miserable; as heir",1
608,Dabareh," the word; the thing; a bee; obedient",1
609,Dabbasheth, flowing with honey,1
610,Daberath, same as Dabareh,1
611,Dagon," corn; a fish",1
612,Dalaiah, the poor of the Lord,1
613,Dalmanutha," a bucket; a branch",1
614,Dalmatia," deceitful lamps; vain brightness",1
615,Dalphon, the house of caves,1
616,Damaris, a little woman,1
617,Damascus," a sack full of blood; the similitude of burning",1
618,Dan," judgment; he that judges",1
619,Daniel," judgment of God; God my judge",1
620,Dannah, judging,1
621,Darah," generation; house of the shepherd or of the companion",1
622,Darda, home of knowledge,1
623,Darius, he that informs himself,1
624,Darkon," of generation; of possession",1
625,Dathan, laws or rites,1
626,David, well-beloved,1
627,Debir," an orator; a word",1
628,Deborah," word; thing; a bee",1
629,Decapolis, containing ten cities,1
630,Dedan," their breasts; friendship; a judge",1
631,Dedanim, the descendants of Dedan,1
632,Dekar, force,1
633,Delaiah, the poor of the Lord,1
634,Delilah," poor; small; head of hair",1
635,Demas, popular,1
636,Demetrius, belonging to corn,1
637,Derbe, a sting,1
638,Deuel, the knowledge of God,1
639,Deuteronomy, repetition of the law,1
640,Diana, luminous,1
641,Diblaim, cluster of figs,1
642,Diblath, paste of dry figs,1
643,Dibon, abundance of knowledge,1
644,Dibon-gad," great understanding; abundance of sons",1
645,Dibri, an orator,1
646,Dibzahab, Dizahab,1
647,Didymus," a twin; double",1
648,Diklah, Dildah,1
649,Dilean, that is poor,1
650,Dimon, where it is red,1
651,Dimonah, dunghill,1
652,Dinah," judgment; who judges",1
653,Dinhabah, he gives judgment,1
654,Dionysius, divinely touched,1
655,Diotrephes, nourished by Jupiter,1
656,Dishan, a threshing,1
657,Dishon," fatness; ashes",1
658,Dodai, Dodanim,1
659,Dodavah, love,1
660,Dodo, his uncle,1
661,Doeg, careful,1
662,Dophkah, a knocking,1
663,Dor, generation,1
664,Dorcas, a female roe-deer,1
665,Dothan," the law; custom",1
666,Drusilla, watered by the dew,1
667,Dumali," silence; resemblance",1
668,Dura, same as Dor,1
669,Ebal, ancient heaps,1
670,Ebed," a servant; laborer",1
671,Eben-ezer, the stone of help,1
672,Eber," one that passes; anger",1
673,Ebiasaph, a father that gathers or adds,1
674,Ebronah," passage over; being angry",1
675,Ecclesiastes, a preacher,1
676,Ed, witness,1
677,Eden," pleasure; delight",1
678,Eder, a flock,1
679,Edom, red,1
680,Edrei, a very great mass,1
681,Eglah," heifer; chariot; round",1
682,Eglaim, drops of the sea,1
683,Eglon, same as Eglah,1
684,Egypt," that troubles or oppresses; anguish",1
685,Ehud, he that praises,1
686,Eker, barren,1
687,Ekron," barrenness; torn away",1
688,Eladah, the eternity of God,1
689,Elah," an oak; a curse; perjury",1
690,Elam," a young man; a virgin; a secret",1
691,Elasah, the doings of God,1
692,Elath," a hind; strength; an oak",1
693,El-beth-el, the God of Bethel,1
694,Eldaah, knowledge of God,1
695,Eldad," favored of God; love of God",1
696,Elead, witness of God,1
697,Elealeh, burnt-offering of God,1
698,Eleazar, help of God,1
699,El-elohe-Israel, God,1
700,Eleph, learning,1
701,Elhanan, grace,1
702,Eli, the offering or lifting up,1
703,Eli, Eli,1
704,Eliab," God is my father; God is the father",1
705,Eliada, knowledge of God,1
706,Eliah, God the Lord,1
707,Eliahba, my God the Father,1
708,Eliakim, resurrection of God,1
709,Eliam, the people of God,1
710,Elias, same as Elijah,1
711,Eliasaph, the Lord increaseth,1
712,Eliashib, the God of conversion,1
713,Eliathah, thou art my God,1
714,Elidad, beloved of God,1
715,Eliel, God,1
716,Elienai, the God of my eyes,1
717,Eliezer, help,1
718,Elihoreph, god of winter,1
719,Elihu,he is my God himself,1
720,Elijah, God the Lord,1
721,Elika, pelican of God,1
722,Elim," the rams; the strong; stags",1
723,Elimelech, my God is king,1
724,Elioenai," toward him are mine eyes; or to him are my fountains",1
725,Eliphal, a miracle of God,1
726,Eliphalet, the God of deliverance,1
727,Eliphaz, the endeavor of God,1
728,Elisabeth, Elizabeth,1
729,Elisha, salvation of God,1
730,Elishah," it is God; the lamb of God: God that gives help",1
731,Elishama, God hearing,1
732,Elishaphat, my God judgeth,1
733,Elisheba, same as Elisabeth,1
734,Elishua, God is my salvation,1
735,Eliud, God is my praise,1
736,Elizur," God is my strength; my rock; rock of God",1
737,Elkanah," God the zealous; the zeal of God",1
738,Elkeshai, hardiness or rigor of God,1
739,Ellasar, revolting from God,1
740,Elkoshite, a man of Elkeshai,1
741,Elmodam, the God of measure,1
742,Elnathan," God hath given; the gift of God",1
743,Elohi, Elohim,1
744,Elon," oak; grove; strong",1
745,Elon-beth-hanan, the house of grace or mercy,1
746,Elpalet, same as Eliphalet,1
747,Eltekeh, of grace or mercy,1
748,Elteketh, the case of God,1
749,Eltolad, the generation of God,1
750,Elul, cry or outcry,1
751,Eluzai, God is my strength,1
752,Elymas, a magician,1
753,Elzabad, the dowry of God,1
754,Elzaphan, God of the northeast wind,1
755,Emims," fears; terrors; formidable; people",1
756,Emmanuel, God with us,1
757,Emmaus, people despised or obscure,1
758,Emmor, an ass,1
759,Enam, fountain,1
760,Enan, cloud,1
761,En-dor, fountain,1
762,Eneas, laudable,1
763,En-eglaim, eye,1
764,En-gannim, eye,1
765,En-gedi, eye,1
766,En-haddah," quick sight; well of gladness",1
767,En-hakkore, fountain of him that called or prayed,1
768,En-hazor, the grass of the well,1
769,En-mishpat, fountain of judgment,1
770,Enoch," dedicated; disciplined",1
771,Enon," cloud; mass of darkness; fountain; eye",1
772,Enos," mortal man; sick; despaired of; forgetful",1
773,En-rimmon, well of weight,1
774,En-shemesh, fountain,1
775,En-tappuah, fountain of an apple,1
776,Epaphras, covered with foam,1
777,Epaphroditus," agreeable; handsome",1
778,Epenetus," laudable; worthy of praise",1
779,Ephah," weary; tired",1
780,Epher," dust; lead",1
781,Ephes-dammim, effusion of blood,1
782,Ephesus, desirable,1
783,Eph-lal," judging; praying",1
784,Ephphatha, be opened,1
785,Ephraim," fruitful; increasing",1
786,Ephratah, Ephrath,1
787,Ephron, dust,1
788,Epicurean, follower of Epicurus,1
789,Er, watchman,1
790,Eran, follower,1
791,Erastus, lovely,1
792,Eri, my city,1
793,Esaias, same as Isaiah,1
794,Esar-haddon," that closes the point; joy; cheerfulness",1
795,Esau, he that acts or finishes,1
796,Esek, contention,1
797,Esh-baal, the fire of the idol,1
798,Esh-ban, fire of the sun,1
799,Eshcol, bunch of grapes,1
800,Eshean, held up,1
801,Eshek, violence,1
802,Eshkalon, same as Askelon,1
803,Eshtaol, a strong woman,1
804,Eshtemoa, the bosom of a woman,1
805,Esli," near me; he who separates",1
806,Esmachiah, joined to the Lord,1
807,Esrom," dart of joy; division of a song",1
808,Esther," secret; hidden",1
809,Etam, their bird,1
810,Etham," their strength; their sign",1
