id,word,gloss,title,WordStatus
11,Ab'diel,"AB'DIEL (servant of God), a chief of Gad. 1 Chr 5:15.","",1
12,Ab'don ," AB'DON (servile). 1. An Ephraimite who judged Israel, Jud 12:13-15;
   perhaps the same with Bedan of 1 Sam 12:11.
    1. A Benjamite, son of Shashak. 1 Chr 8:23.
    2. A Benjamite, son of Jehiel, of Gibeon. 1 Chr 8:30; 1 Chr 9:36.
    3. A son of Micah, one of Josiah's officers, 2 Chr 34:20; called
       Achbor. 2 Kgs 22:12,2 Kgs 22:14.

AB'DON (servile), a city in the territory of Asher, assigned to the
   Levites. Josh 21:30; 1 Chr 6:74. It may be located at the modern Ahdeh,
   ruins 10 miles N. E. of Accho.","",1
14,Abed'-nego,"ABED'-NEGO (servant of Nego, perhaps the same as Nebo, the Chaldean
   name of the planet Mercury, who was worshipped as the scribe and
   interpreter of the gods), the Chaldee name given by an officer of the
   king of Babylon to Azariah, one of the four youths mentioned in the
   book of Daniel who were taken captive at Jerusalem, b. c. 604, and
   carried to Babylon, where they were trained for the royal service. Dan
   1:7. The names of the others were likewise changed. Daniel was called
   Belteshazzar; Hananiah, Shadrach; and Mishael, Meshach. Daniel,
   promoted in consequence of his interpretation of the king's dream,
   secured positions for his three companions. These three are immortal
   because on the occasion of the dedication of a golden image by
   Nebuchadnezzar they refused to bow down and worship it. Accordingly,
   they were cast into a burning fiery furnace, from which they were
   miraculously delivered unscathed. Dan 3. See Daniel.","",1
15,A'bel,"A'BEL( Heb. Hebel--i. e. breath, vapor), the second son of Adam and
   Eve, so called perhaps from the fleeting character of his life, or
   because, since Cain was not the promised seed, as Eve expected at his
   birth, life itself seemed of little worth; it was but ""a vapour, that
   appeareth for a little time, and then vanisheth away."" Gen 4:2. He was
   a keeper or feeder of sheep, and in process of time brought of the
   firstlings or first-fruits of his flock an offering unto the Lord. God
   accepted his offering and gave him evidence of it. Heb 11:4. Not so
   with Cain. Either his sacrifice, or the manner of presenting it,
   offended God, and the offering was rejected. 1 John 3:12. Cain,
   exceedingly angry, and filled with envy, embraced an opportunity when
   they were in the field together to take his brother's life. Gen 4.

   Our Saviour distinguishes Abel by the title ""righteous."" Matt 23:35. He
   is also one of the faithful ""elders"" mentioned in the Epistle to the
   Matt 23:Hebrews, ch. 11 , and is justly called the first martyr.

   A'BEL (meadow), a prefix in the names of several places, as below.

   A'BEL, of the vineyards, see margin, Jud 11:33, or ""plain of the
   vineyards,"" as the text reads, was a place east of the Jordan, perhaps
   the present Merj Ekkeh.

   A'BEL, and A'BEL-BETH-MA'ACHAH (meadow of the house of oppression), a
   town in the north of Palestine near Cesarea Philippi, the modern
   Ahil-el-Kamh, a ruin on a stream north of the waters of Merom. It was
   attacked by Joab, 2 Sam 20:14, 2 Sam 20:15; by Benhadad, 1 Kgs 15:20;
   and by Tiglath-pileser. 2 Kgs 15:29.","",1
16,Abel-maim,"A'BEL-MA'IM (meadow of waters), another name for Abel-BethMaaehah. 2
   Chr 16:4.","",1
17,Abel - meholah,"A'BEL - MEHO'LAH (meadow of the dance), a place in the Jordan valley
   between the Sea of Galilee and the Dead Sea. 1 Kgs 4:12 . Gideon
   pursued the Midianites near it, Jud 7:22; and it was the home of
   Elisha. 1 Kgs 19:16. Van de Velde locates it 10 miles south of
   Bethshean; Conder, in Wadi Maleh, on the road from Beisan to the
   Jordan, at Aio Helweh.","",1
18,Abel-mizraim,"A'BEL-MIZ'RAIM (meadow of Egypt), a name given by the Canaanites to the
   floor of Atad, where Joseph mourned for his father, Jacob. Gen 50:11.
   It was ""beyond "" -- that is, west of -- the Jordan, as the writer was
   on the east side. Some place it at Beth-hoglah, or near Jericho; others
   think it was near Hebron.","",1
19,Abel- shittim,"A'BEL- SHIT'TIM (meadow of the acacias), the name of the last
   halting-place of the Israelites before entering Canaan, and in the
   plain of Moab, near the Jordan. Num 33:49. It is also called Shittim.
   Num 25:1.","",1
20,Abel stone of,"A'BEL, STONE OF. 1 Sam 6:18. A place near Beth-shemesh, where the ark
   of the Lord was set down.","",1
21,Abez,"A'BEZ (tin ? or lofty), a town of Issachar. Josh 19:20. Some think it
   the same as Thebez, Jud 9:50, near to En-gannim and Shunem; others
   identify it with Kuehiz, three miles S. W. of Iksal. Conder suggests
   el-Beida.","",1
22,Abi,"A'BI (father = progenitor), the mother of Hezekiah, 2 Kgs 18:2; called
   more fully Abijah. 2 Chr 29:1.","",1
23,Abia,"ABI'A. 1. Abijah, king of Judah, so called in 1 Chr 3:10; Matt 1:7.
    1. The Greek form of Abijah, head of one of the courses of priests.
       Luke 1:5. See Abijah.","",1
24,Abia course of,"ABI'A, COURSE OF. Luke 1:5. In 1 Chr 24 we have an account of the
   divisions of the priests into twenty four classes, courses, or orders,
   who ministered at the altar in rotation. The courses were distinguished
   by the name of the most prominent member of the family from which the
   course was taken. The eighth of these courses fell to the family of
   Abia or Abijah; and to this course belonged Zacharias, the father of
   John the Baptist.","",1
25,Abiah,"ABI'AH. 1. Second son of Samuel. 1 Sam 8:2; 1 Chr 6:28.
    1. The wife of Hezron. 1 Chr 2:24.
    2. Son of Becher, Benjamin's son. 1 Chr 7:8.","",1
26,Abi-albon,"A'BI-AL'BON (father of strength, i. e. strong), one of David's
   warriors, 2 Sam 23:31; called Abiel. 1 Chr 11:32.","",1
27,Abiasaph,"ABI'ASAPH (father of gathering, i. e. gathered), a Levite, one of the
   sons of Korah, and head of one of the Korhitic families,Ex 6:24: called
   Ebiasaph in 1 Chr 6:37 and 1 Chr 9:19.","",1
28,Abi athar,"ABI'ATHAR (father of abundance, i. e. liberal), the tenth high priest
   of the Jews, and fourth in descent from Eli. 1 Sam 22:20. He was the
   son of Ahimelech, and the only one who escaped when Doeg at Saul's
   command slew the priests at Nob in revenge for Ahimelech's service to
   David in inquiring of the Lord for him, and in giving him the
   shew-bread to eat, and Goliath's sword.1 Sam 22. Abiathar fled to David
   at Keilah, and told him what Saul had done. David received him, and he
   afterward became high priest. Thus there were two high priests in
   Israel at the same time -- Abiathar, in the party of David, and Zadok,
   in the party of Saul, 2 Sam 8:17; but, in consequence of his supporting
   Adonijah in his pretensions to the throne of David, Solomon, upon
   becoming king, thrust Abiathar out of the priesthood, 1 Kgs 2:27, and
   conferred the office exclusively upon Zadok. See Zadok. Thus was
   fulfilled the word of God to Eli, 1 Sam 2:31; for Abiathar was the last
   of the priests of the house of Ithamar, to which Eli belonged; and
   Zadok, who succeeded him, was of the family of Eleazar; and so the
   priesthood passed into its former channel. Abiathar, mentioned in Mark
   2:26, has been supposed by some to be the same with Ahimelech. The most
   probable solution of the difficulty is, perhaps, that Abiathar and
   Ahimelech may have been hereditary names in the family, and therefore
   were both borne by the same person. Hence the name Abiathar, being that
   of David's friend, would be more commonly used than Ahimelech. This
   theory also accounts for the substitution of one name for another in 2
   Sam 8:17; 1 Chr 18:16, and 1 Chr 24:3, 1 Chr 24:6, 1 Chr 24:31. The
   facts to which the Gospel alludes in the passage cited are fully stated
   in 1 Sam 21.","",1
29,Abida,"ABI'DA, or ABI'DAH (father of knowledge, i. e. wise), a son of Midian.
   Gen 25:4; 1 Chr 1:33.","",1
30,Abidan,"AB'IDAN (father of the judge), prince of Benjamin. Num 1:11;Num 2:22;
   Num 7:60, Num 1:65;Num 10:24.","",1
31,Abiel,"ABI'EL (father of strength, i. e. strong). (1). The father of Kish and
   Ner. 1 Sam 9:1;1 Sam 14:51.

   (2). One of David's warriors. 1 Chr 11:32. See Abi-albon.","",1
32,Abiezer,"ABIE'ZER (the father of help, i. e. helpful), the eldest son of Gilead,
   Josh 17:2; Num 26:30; or of a sister of Gilead, 1 Chr 7:18; founded a
   family at Ophrah, from which sprang Gideon. Jud 8:32.","",1
33,Abiezrite,"ABIEZ'RITE (the father of help), a family descended from Abiezer. Jud
   6:11, Jud 6:24;Jud 8:32.","",1
34,Abigail,"AB'IGAIL (father, i. e. source, of joy). (1). The wise and beautiful
   wife of the churlish and wicked Nabal, a wealthy man of Carmel. 1 Sam
   25:3. When her husband had exposed himself to the anger of David by his
   rude and contemptuous treatment of his messengers, Abigail hastened to
   meet him while he was on his way with four hundred men to revenge the
   insult. She managed the affair with so much prudence as to pacify David
   and obtain his blessing. About ten days after her return the Lord
   visited Nabal with sickness, and he died, and Abigail became David's
   wife.

   (2). One of David's sisters, married to Jether, and mother of Amasa. 2
   Sam 17:25;1 Chr 2:17.","",1
35,Abihail,"ABIHA'IL (father of strength, i. e. the strong one). (1). The father of
   Zuriel, "" chief of the . . . house of the families of Marari."" Num
   3:35.

   (2). The wife of Abishur. 1 Chr 2:29.

   (3). The son of Huri, of the tribe of Gad. 1 Chr 5:14.

   (4). The wife of Rehoboam. 2 Chr 11:18.

   (5). The father of Esther. Esth 2:15; Esth 9:29.","",1
36,Abihu,"ABI'HU (whose father is He, i. e. God), the second son of Aaron, who
   with his elder brother, Nadab. his father, and 70 of the elders of
   Israel, went upon Mount Sinai with Moses. Ex 6:23; Ex 28:1. He was
   afterward set apart by God, with his brothers, Nadab, Eleazar, and
   Ithamar, to the priesthood. Soon after they entered on their sacred
   duties. Nadab and Abihu violated God's commands respecting the manner
   of offering incense, and were instantly consumed. Lev 10:1, Lev 10:2.
   This event happened in the wilderness of Sinai. The nature of their
   offence is very obvious; they used common fire instead of the fire
   which burnt continually upon the altar of burnt-offering, and some
   suppose they were drawn into this presumptuous sin by the too free use
   of wine. Their father and brothers were forbidden to make public
   mourning for them.","",1
37,Abihud,"ABI'HUD (whose father is Judah, i. e. renown), the son of Bela and
   grandson of Benjamin. 1 Chr 8:3.","",1
38,Abijah,"ABI'JAH (whose father is Jehovah). (1). A son of Jeroboam I., king of
   Israel, who died under interesting circumstances in early life. 1 Kgs
   14:1. See Jeroboam.

   (2). Abijah or Abijam, 2 Chr 13:1, the son of Rehoboam and Michaiah,
   succeeded his father as king of Judah b. c. 959. He made war against
   Jeroboam, king of Israel, for the purpose of getting back the kingship
   of the ten tribes, and defeated him, with a loss of 500,000 men. These
   figures are probably through a mistake made too large; the loss, it is
   likely, was not greater than 50,000. He began to reign in the 18th year
   of Jeroboam, and was succeeded by his son Asa in the 20th year of
   Jeroboam, so that he reigned only a part of three years. The apparent
   contradiction in respect to the parentage of this person, as it is
   given in 1 Kgs 15:2 and 2 Chr 13:2 may be explained by supposing that
   his mother Maachah (or Michaiah) was the daughter of Uriel and the
   granddaughter of Absalom, who is called Abishalom.1 Kgs 15:2. The term
   ""daughter"" is given in the Bible to other relatives than one's own
   child; e. g. to a niece, granddaughter, or great granddaughter.

   (3). The head of one of the courses of priests, 1 Chr 24:10; Neh 12:17;
   termed Abia in Luke 1:5.

   (4). The mother of Hezekiah,2 Chr 29:1 also called Abi in 2 Kgs 18:2.

   (5). One of the priests who ""sealed the covenant;"" i. e. appended their
   seals unto it to signify that they were parties to it. Neh 10:7.

   (6). A priest who returned with Zerubbabel from Babylon. Neh 12:4,Neh
   12:17.","",1
39,Abijam,"ABI'JAM(father of the sea, i. e. a maritime person). 1 Kgs 15:1, 1 Kgs
   15:7, 1 Kgs 15:8. See Abijah (2).","",1
40,Abilene,"ABILE'NE (from Abila), a small district of Palestine on the eastern
   slopes of Anti-Libanus, of which Abila on the river Barada was the
   capital. It was governed by Lysanias in the time of John the Baptist.
   Luke 3:1.","",1
41,Abimael,"ABIM'AEL (father of Mael), a descendant of Joktan, and supposed
   progenitor of the Arabian tribe Mali. Gen 10:28; 1 Chr 1:22.","",1
42,Abimelech,"ABIM'ELECH (father of the king). (1). A king of the Philistines at
   Gerar. Gen 20:2. Being deceived by Abraham, he took Sarah, Abraham's
   wife, to be his wife. God warned him, however, in a dream of Sarah's
   relation to Abraham, and thus withheld him from the commission of sin,
   because he did it in ignorance. Gen 20:6. Abimelech, having rebuked
   Abraham, restored Sarah to him with many gifts, and offered him a
   dwelling-place in any part of the land. God afterward remitted the
   punishment of the family of Abimelech.

   (2). At a subsequent period, Abimelech, a successor of the preceding,
   was deceived in like manner by Isaac, respecting his wife Rebekah,
   while they dwelt in Gerar during a time of famine in Canaan. Gen 26.

   (3). A son of Gideon, who, after the death of his father, persuaded the
   men of Shechem to make him king. Jud 8:31; Jud 9:18. He afterward put
   to death seventy of his brothers who dwelt in his father's house at
   Ophrah, leaving only Jotham, the youngest, alive. On learning of his
   exaltation to the kingship of the Shechemites, who had formed
   themselves into an independent state, Jotham told them the fable of the
   trees, Jud 9:7, etc., which is the oldest fable extant. The Shechemites
   in the third year of his reign rebelled against him during his absence,
   but he put the revolt down on his return. Shortly afterward, while
   storming the fortress of Thebez, he was mortally wounded by a piece of
   a millstone thrown upon his head by a woman from the top of a tower.
   That it might not be said a woman slew him, he called to his
   armor-bearer to stab him with his sword, and thus he died. Jud 9:54-57.

   (4). A son of Abiathar. 1 Chr 18:16.

   (5). The name given to Achish in the title of Ps 34.","",1
43,Abinadab,"ABIN'ADAB (father of nobleness, i e. noble). (1). A Levite of
   Kirjathjearim, with whom the ark of the Lord was deposited when it was
   brought back from the Philistines. 1 Sam 7:1 and 1 Chr 13:7.

   (2). The second of the eight sons of Jesse, and one of his three sons
   who followed Saul in battle. 1 Sam 16:8.

   (3). One of Saul's sons who was slain at the battle of Gilboa. 1 Sam
   31:2.

   (4). The father of one of the twelve officers appointed by Solomon to
   provide alternately, month by month, food for the king and his
   household. 1 Kgs 4:11.","",1
44,Abiner,"AB'INER (father of light). 1 Sam 14:50, margin, same as Abner.","",1
45,Abinoam,"ABIN'OAM (father of pleasantness), the father of Barak. Jud 4:6, Jud
   4:12; Jud 5:1, Jud 4:12.","",1
46,Abiram,"ABI'RAM (father of height, i. e. renowned). (1). One of the sons of
   Eliab, the Reubenite, who were destroyed with Korah for a conspiracy
   against Moses. See Korah. Num 16:1.

   (2). The first-born of Hiel the Bethelite. 1 Kgs 16:34. His death at
   the time his father began the rebuilding of Jericho fulfilled the first
   part of Joshua's curse. Josh 6:26.","",1
47,Abishag,"AB'ISHAG (father of error), a fair woman of Shunem, in the tribe of
   Issachar, who was selected by the servants of David to minister to him
   in his old age and to cherish him, 1 Kgs 1:1-4. After David's death and
   the ascension of Solomon to the throne, Adonijah desired Abishag in
   marriage, but Solomon perceived his policy (see Adonijah), and caused
   him to be put to death. 1 Kgs 2:25.","",1
48,Abishai,"ABISH'AI (father of a gift), the eldest son of Zeruiah, David's sister,
   and among the chief of his mighty men. 2 Sam 2:18. He accompanied David
   to the camp of Saul, and counselled him to take Saul's life, which
   David refused to do, 1 Sam 26:5-12, and was probably with David during
   the latter's wandering life. He was associated with Joab in the
   assassination of Abner. 2 Sam 3:30. The victory over the Edomites in
   the valley of Salt, which is ascribed to David in 2 Sam 8:13, is
   ascribed to Abishai in 1 Chr 18:12. Probably Abishai actually obtained
   the victory, but as he was an officer under David, it might also with
   propriety be spoken of as David's achievement. Abishai, with Joab his
   brother, attacked and defeated the Syrians and the children of Ammon. 2
   Sam 10. David appointed him, in conjunction with Joab and Ittai, to the
   command of the people when they went forth to battle against Israel in
   the wood of Ephraim. 2 Sam 18:2. He afterward rescued David from the
   giant Philistine, Ishbi-benob, whom he smote and killed. 2 Sam 21:16, 2
   Sam 21:17.","",1
49,Abishalom ,"ABISH'ALOM (father of peace), father of Maachah; called Absalom in 2
   Chr 11:20, 2 Chr 11:21, and undoubtedly the same person. 1 Kgs 16:2, 1
   Kgs 16:10.","",1
51,Abishua,"ABISH'UA (father of deliverance). (1). Son of Phineas the high priest.
   1 Chr 6:4, 1 Chr 6:5, 1 Chr 6:50; Ezr 7:5.
(2). A descendant of Benjamin. 1 Chr 8:4.","",1
52,Abishur,"AB'ISHUR (father of the wall, i. e. stronghold), a descendant of Judah.
   1 Chr 2:28, 1 Chr 2:29.","",1
53,Abital,"AB'ITAL (whose father is the dew), one of David's wives. 2 Sam 3:4; 1
   Chr 3:3.","",1
54,Abitub,"AB'ITUB (father of goodness), a descendant of Benjamin. 1 Chr 8:11.","",1
55,Ablud,"ABl'UD (whose father is Judah), a descendant of Zerubbabel, mentioned
   in our Lord's genealogy. Matt 1:13.","",1
56,Abner,"AB'NER (father of light), the son of Ner, was a first cousin of Saul,
   and a faithful and distinguished general of his armies. 1 Sam 14:50. We
   first hear of him, particularly, as the captain of the host, of whom
   Saul inquired concerning the stripling, David, whose victory over
   Goliath had excited his astonishment; and after a little time Abner
   introduced David to Saul, with the head of the giant Philistine in his
   hand. 1 Sam 17:57. It was through the want of vigilance in Abner that
   Saul's life was placed in David's power in the wilderness of Ziph. 1
   Sam 26. See David, Saul. After David was anointed king of Judah, Abner
   procured the appointment of Ish-bosheth, Saul's son, as king of Israel;
   and in process of time the army of David, under Joab, and the army of
   Israel, under Abner, arrayed themselves on either side of the pool of
   Gibeon. While occupying this position twelve men of each army met and
   fought desperately. This contest was followed by a general battle,
   which resulted in Abner's defeat. He fled, but was pursued by Asahel,
   who ""was light of foot as a wild roe.""","",1
57,Abo,"When in the heat of pursuit, Abner counselled him to desist, and
   threatened to turn upon him and slay him if he did not, but Asahel
   refused to turn aside, and Abner, '' with the hinder end of the spear,""
   smote him so that he died. Joab and Abishai were also engaged in the
   pursuit, but at Abner's entreaty they desisted and returned. 2 Sam 2.

   As David's strength increased, the house of Saul, though faithfully
   served by Abner, became gradually weaker, till at length Ish-bosheth
   charged Abner with an offence against Saul's family. 2 Sam 3:7. He had
   taken Rizpah, the concubine of Saul, into his harem, and this act was
   interpreted according to Oriental ideas as an attempt to seize the
   throne. He was exceedingly irritated by the charge, and immediately
   forsook the interests of Saul's house and espoused the cause of David.
   David received him cordially, and sent him away in peace to persuade
   Israel to submit to David's government.

   While he was gone on this errand, Joab returned ; and hearing what had
   been done, he went to the king and warned him against Abner as a spy
   and traitor. Soon after, and without David's knowledge, Joab sent for
   Abner ; and when he arrived, took him aside privately, and murdered him
   in revenge of the death of his brother Asahel ; and they buried him in
   Hebron. The estimation in which he was held by the king and people
   appears from the sacred history. The king wept and refused his food,
   and all the people wept; ""And the king said unto his servants. Know ye
   not that there is a prince and a great man fallen this day in Israel ?""
   2 Sam 3:38.","",1
58,"Abominable, abomination","ABOMINABLE, ABOMINA'TION. 1. An abomination, or an abominable thing, is
   a thing hateful or detestable, as the employment or calling of
   shepherds was to the Egyptians. Gen 46:34.
    1. Under the Mosaic law those animals and acts are called abominable
       the use or doing of which was prohibited. Lev 11:13 and Deut 23:18.
         1. Idolatry of every kind is especially denoted by this term. Jer
            44:4 and 2 Kgs 23:13.
         2. So of sins in general. Isa 66:3. The Abomination of
            Desolation, Matt 24:15 and Dan 9:27 and Dan 12:11. probably
            refers to the ensigns or banners of the Roman army, with the
            idolatrous,

   Roman Standards. (After Fairhairn's ""Imperial Dictionary."")

   and therefore abominable, images upon them, the approach of which would
   warn the city of its desolation. When the city should be besieged, and
   these idolatrous standards should be seen "" in the holy place,"" or,
   more strictly, in the vicinity of the holy city, thus threatening a
   complete conquest and speedy destruction, it would be time for the men
   of Judea to flee to places of refuge to save themselves from
   tribulation and death. The words are hard to interpret. To the
   explanation given it is objected that unless the standards were
   worshipped they would not properly be "" abominations."" Others say the
   words refer to the ""internal desecration of the temple by the Jewish
   zealots, under pretence of defending it.""","",1
