id,naves_id,phrase,addenda,naves_for_transfer
66,25,1. High priest. Called AHIMELECH in,Consults the ephod for David,ABIATHAR
67,25,1. High priest. Called AHIMELECH in,Associate high priest with Zadok in the reign of David,ABIATHAR
68,25,1. High priest. Called AHIMELECH in,But called AHIMELECH and father of Abiathar,ABIATHAR
69,25,1. High priest. Called AHIMELECH in,"Loyal to David when Absalom rebelled; leaves Jerusalem with",ABIATHAR
70,25,1. High priest. Called AHIMELECH in,Helps David by sending his son from Jerusalem to David with,ABIATHAR
71,25,1. High priest. Called AHIMELECH in,Supports Adonijah's pretensions to the throne,ABIATHAR
72,25,1. High priest. Called AHIMELECH in,Thrust out of office by Solomon,ABIATHAR
73,26,First month in the Jewish calendar,"",ABIB
74,26,"Passover instituted, and Israelites depart from Egypt in","",ABIB
75,26,Tabernacle set up in,"",ABIB
76,26,Israelites arrive at the wilderness of Zin in,"",ABIB
77,26,Enter Canaan in,"",ABIB
78,26,Jordan's overflow in,"",ABIB
79,27,Son of Midian,"",ABIDA
80,28,A descendant of Abraham,"",ABIDAH
81,29,1. Saul's grandfather,"",ABIEL
82,29,2. A Benjamite,"",ABIEL
83,30,"1. Also called JEEZER, progenitor of the Abiezrites","",ABIEZER
84,30,2. One of David's heroes,"",ABIEZER
85,31,1. Nabal's wife,"Her wisdom and tact, and marriage to David",ABIGAIL
86,31,1. Nabal's wife,Mother of Chileab by David,ABIGAIL
87,31,1. Nabal's wife,Taken captive and rescued by David,ABIGAIL
88,31,"2. Sister of David, and mother of Amasa","",ABIGAIL
89,32,1. Father of Esther,"",ABIHAIL
90,32,2. The second wife of Rehoboam,"",ABIHAIL
91,32,3. Father of Zuriel,"",ABIHAIL
92,32,4. Wife of Abishur,"",ABIHAIL
93,33,Son of Aaron,"",ABIHU
94,33,Summoned by God to Sinai,"",ABIHU
95,33,Called to the priesthood,"",ABIHU
96,33,Death of,"",ABIHU
97,33,Died childless,"",ABIHU
98,34,"Also called AHIHUD, son of Bela","",ABIHUD
99,35,1. Son of Jeroboam,"",ABIJAH
100,36,King of Judah,"",ABIJAM
101,36,History of,"",ABIJAM
102,36,Succeeded by Asa,"",ABIJAM
103,37,A Roman province in Israel,"",ABILENE
104,38,Son of Joktan,"",ABIMAEL
105,39,1. King of Gerar,"",ABIMELECH
106,39,2. King of Gerar,"",ABIMELECH
107,39,3. Son of Gideon,"",ABIMELECH
108,40,"1. A Levite, in whose house the ark of God rested twenty years","",ABINADAB
109,40,2. Son of Jesse,"",ABINADAB
110,40,"3. Also called ISHUI, son of Saul","",ABINADAB
111,40,4. Father of one of Solomon's purveyors. Called in R. V.,"",ABINADAB
112,41,Father of Barak,"",ABINOAM
113,42,1. An Israelite who conspired with Dathan against Moses and,"",ABIRAM
114,42,2. Son of Hiel,"",ABIRAM
115,43,Wife of David,"",ABISHAG
116,44,"Son of Zeruiah, David's sister","",ABISHAI
117,44,One of David's chief men,"",ABISHAI
118,44,Seeks Saul's life,"",ABISHAI
119,44,Pursues and kills Abner,"",ABISHAI
120,44,Defeats the Edomites,"",ABISHAI
121,44,Defeats the Ammonites,"",ABISHAI
122,44,Seeks the life of Shimei,"",ABISHAI
123,44,Leads a division of David's army against Absalom,"",ABISHAI
124,44,Overthrows Sheba,"",ABISHAI
125,44,Saves David from being slain by a Philistine,"",ABISHAI
126,44,Obtains water from the well of Bethlehem for David,"",ABISHAI
127,45,General scriptures concerning,"",ABISHALOM
128,46,1. A high priest,"",ABISHUA
129,46,2. A son of Bela,"",ABISHUA
130,47,Son of Shammai,"",ABISHUR
131,48,Wife of David,"",ABITAL
132,49,A Benjamite,"",ABITUB
133,50,Ancestor of Jesus,"",ABIUD
134,51,General scriptures concerning,"",ABLUTION
135,51,Of priests,"",ABLUTION
136,51,Of burnt offerings,"",ABLUTION
137,51,Of the dead,"",ABLUTION
138,51,Of infants,"",ABLUTION
139,51,Of the face,"",ABLUTION
140,51,Of the feet,"",ABLUTION
141,51,Of the hands,"",ABLUTION
142,51,"Of the hands, as a token of innocency","",ABLUTION
143,51,For defilement,Of lepers,ABLUTION
144,51,For defilement,Those having bloody issue,ABLUTION
145,51,For defilement,Those having eaten that which died,ABLUTION
146,51,"Traditional forms of, not observed by Jesus","",ABLUTION
147,51,FIGURATIVE,"",ABLUTION
148,52,Cousin of Saul,"",ABNER
149,52,Captain of the host,"",ABNER
150,52,Dedicated spoils of war to the tabernacle,"",ABNER
151,52,"Loyalty of, to the house of Saul","",ABNER
152,52,"Alienation of, from the house of Saul","",ABNER
153,52,"Murdered by Joab; David's sorrow for","",ABNER
154,53,"Things that are, to God",Idolatry,ABOMINATION
155,53,"Things that are, to God",Unjust weights and measures,ABOMINATION
156,53,"Things that are, to God",Uncleanness,ABOMINATION
157,53,"Things that are, to God",Incest,ABOMINATION
158,53,"Things that are, to God",Lying with a woman in her menses,ABOMINATION
159,53,"Things that are, to God",Adultery,ABOMINATION
160,53,"Things that are, to God",Sodomy,ABOMINATION
161,53,"Things that are, to God",Offering seed to Molech,ABOMINATION
162,53,"Things that are, to God",Offering children in sacrifice,ABOMINATION
163,53,"Things that are, to God",Sorcery and necromancy,ABOMINATION
164,53,"Things that are, to God","The hire of a whore and price of a dog, as a consecrated",ABOMINATION
165,53,UNCLASSIFIED SCRIPTURES RELATING TO,"",ABOMINATION
166,54,General scriptures concerning,"",ABORTION
167,54,As a judgment,"",ABORTION
168,54,"Of animals, caused by thunder","",ABORTION
169,55,Son of Terah,"",ABRAHAM
170,55,Marries Sarah,"",ABRAHAM
171,55,"Lives in Ur, but removes to Haran","",ABRAHAM
172,55,And Canaan,"",ABRAHAM
173,55,Divine call of,"",ABRAHAM
174,55,Canaan given to,"",ABRAHAM
175,55,Lives in Bethel,"",ABRAHAM
176,55,Sojourns in Egypt,"",ABRAHAM
177,55,"Deferring to Lot, chooses Hebron","",ABRAHAM
178,55,Lives in Gerar,"",ABRAHAM
179,55,Defeats Chedorlaomer,"",ABRAHAM
180,55,Is blessed by Melchizedek,"",ABRAHAM
181,55,God's covenant with,"",ABRAHAM
182,55,Called ABRAHAM,"",ABRAHAM
183,55,Circumcision of,"",ABRAHAM
184,55,Angels appear to,"",ABRAHAM
185,55,His questions about the destruction of the righteous and,"",ABRAHAM
186,55,Witnesses the destruction of Sodom,"",ABRAHAM
187,55,Ishmael born to,"",ABRAHAM
188,55,"Lives in Gerar; deceives Abimelech concerning Sarah, his wife","",ABRAHAM
189,55,Isaac born to,"",ABRAHAM
190,55,Sends Hagar and Ishmael away,"",ABRAHAM
191,55,Trial of his faith in the offering of Isaac,"",ABRAHAM
192,55,"Sarah, his wife, dies","",ABRAHAM
193,55,"He purchases a place for her burial, and buries her in a cave","",ABRAHAM
194,55,Marries Keturah,"",ABRAHAM
195,55,Provides a wife for Isaac,"",ABRAHAM
196,55,Children of,"",ABRAHAM
197,55,Testament of,"",ABRAHAM
198,55,Wealth of,"",ABRAHAM
199,55,"Age of, at different periods","",ABRAHAM
200,55,Death,"",ABRAHAM
201,55,In Paradise,"",ABRAHAM
202,55,Friend of God,"",ABRAHAM
203,55,Piety of,"",ABRAHAM
204,55,A prophet,"",ABRAHAM
205,55,Faith of,"",ABRAHAM
206,55,Unselfishness of,"",ABRAHAM
207,55,"Independence of, in character","",ABRAHAM
208,55,"Ancestors of, idolatrous","",ABRAHAM
209,55,How regarded by his descendants,"",ABRAHAM
210,56,Son of David by Maacah,"",ABSALOM
211,56,Beauty of,"",ABSALOM
212,56,Kills Amnon,"",ABSALOM
213,56,Flees to Geshur,"",ABSALOM
214,56,Is permitted by David to return to Jerusalem,"",ABSALOM
215,56,His demagogism,"",ABSALOM
216,56,Conspiracy,"",ABSALOM
217,56,Death and burial,"",ABSALOM
218,56,David's mourning for,"",ABSALOM
219,56,Children of,"",ABSALOM
220,56,Pillar of,"",ABSALOM
221,57,General scriptures concerning,"",ABSTEMIOUSNESS
222,57,INSTANCES OF,Daniel and his Hebrew companions,ABSTEMIOUSNESS
223,57,INSTANCES OF,John the Baptist,ABSTEMIOUSNESS
224,58,FROM INTOXICATING BEVERAGES,"",ABSTINENCE
225,58,INSTANCES OF,Israelites in the wilderness,ABSTINENCE
226,58,INSTANCES OF,Samson,ABSTINENCE
227,58,INSTANCES OF,Daniel,ABSTINENCE
228,58,INSTANCES OF,Rechabites,ABSTINENCE
229,58,INSTANCES OF,John the Baptist,ABSTINENCE
230,59,A city conquered by Nimrod,"",ACCAD
231,61,"Also called PTOLEMAIS, a town of Phoenicia","",ACCHO
232,64,What so called,"",ACCURSED
233,65,General scriptures concerning,"","ACCUSATION, FALSE"
234,65,INCIDENTS ILLUSTRATIVE OF,Against Joseph by Potiphar's wife,"ACCUSATION, FALSE"
235,65,INCIDENTS ILLUSTRATIVE OF,Against Joseph's brethren by Joseph,"ACCUSATION, FALSE"
236,65,INCIDENTS ILLUSTRATIVE OF,Against Moses by Korah,"ACCUSATION, FALSE"
237,65,INCIDENTS ILLUSTRATIVE OF,Against the prophet Ahimelech by Saul,"ACCUSATION, FALSE"
238,65,INCIDENTS ILLUSTRATIVE OF,Against Abner by Joab,"ACCUSATION, FALSE"
239,65,INCIDENTS ILLUSTRATIVE OF,Against David by the princes of Ammon,"ACCUSATION, FALSE"
240,65,INCIDENTS ILLUSTRATIVE OF,Against Elijah by Ahab,"ACCUSATION, FALSE"
241,65,INCIDENTS ILLUSTRATIVE OF,Against Naboth by Jezebel,"ACCUSATION, FALSE"
242,65,INCIDENTS ILLUSTRATIVE OF,"Against Jews, returned under Ezra","ACCUSATION, FALSE"
243,65,INCIDENTS ILLUSTRATIVE OF,Against Jeremiah,"ACCUSATION, FALSE"
244,65,INCIDENTS ILLUSTRATIVE OF,Against Amos,"ACCUSATION, FALSE"
245,65,INCIDENTS ILLUSTRATIVE OF,Against Mary,"ACCUSATION, FALSE"
246,65,INCIDENTS ILLUSTRATIVE OF,Against Jesus,"ACCUSATION, FALSE"
247,65,INCIDENTS ILLUSTRATIVE OF,Against Stephen,"ACCUSATION, FALSE"
248,65,INCIDENTS ILLUSTRATIVE OF,Against Paul,"ACCUSATION, FALSE"
249,65,INCIDENTS ILLUSTRATIVE OF,Against Paul and Silas,"ACCUSATION, FALSE"
250,65,INCIDENTS ILLUSTRATIVE OF,Satan falsely accuses Job,"ACCUSATION, FALSE"
251,66,The field of blood,"",ACELDAMA
252,67,Paul visits,"",ACHAIA
253,67,Benevolence of the Christians in,"",ACHAIA
254,68,A citizen of Corinth,"",ACHAICUS
255,69,Sin and punishment of,"",ACHAN
256,71,1. Father of King Baal-hanan,"",ACHBOR
257,71,2. Or ABDON. One of Josiah's courtiers,"",ACHBOR
258,71,3. Father of Elnathan,"",ACHBOR
259,72,Ancestor of Jesus,"",ACHIM
260,73,David escapes to,"",ACHISH
261,74,A Persian city,"",ACHMETHA
262,75,A valley near Jericho,"",ACHOR
263,76,Caleb's daughter,"",ACHSAH
264,76,Called ACHSA,"",ACHSAH
265,77,An ancient city in North Israel,"",ACHSHAPH
266,78,1. A city of Asher,"",ACHZIB
267,78,"2. Also called CHEZIB, a city of Judah","",ACHZIB
268,79,The indefinite quantity of land a yoke of oxen could plow in a,"",ACRE
269,81,Duty of defendant,"",ACTIONS AT LAW
270,82,A city of Judah,"",ADADAH
271,83,1. Wife of Lamech,"",ADAH
272,83,2. Wife of Esau,"",ADAH
273,84,1. Grandfather of Josiah,"",ADAIAH
274,84,2. A musician,"",ADAIAH
275,84,3. A priest,"",ADAIAH
276,84,4. A Benjamite,"",ADAIAH
277,84,5. Father of Maaseiah,"",ADAIAH
278,84,6. Two sons of Bani,"",ADAIAH
279,84,7. Son of Joiarib,"",ADAIAH
280,85,Son of Haman,"",ADALIA
281,86,1. The first man. Creation of,"",ADAM
282,86,1. The first man. Creation of,"History of, before he sinned",ADAM
283,86,1. The first man. Creation of,Temptation and sin of,ADAM
284,86,1. The first man. Creation of,See R. V.),ADAM
285,86,1. The first man. Creation of,Subsequent history of,ADAM
286,86,1. The first man. Creation of,His death,ADAM
287,86,1. The first man. Creation of,Progenitor of the human race,ADAM
288,86,1. The first man. Creation of,Brought sin into the world,ADAM
289,86,1. The first man. Creation of,Type of Christ,ADAM
290,86,2. A name of Christ,"",ADAM
291,86,3. A city near the Jordan,"",ADAM
292,87,"Also called ADAMI, a city of Naphtali","",ADAMAH
293,88,A flint,"",ADAMANT
294,90,1. Twelfth month in Jewish calendar,"",ADAR
295,90,2. Son of Bela,"",ADAR
296,91,Son of Ishmael,"",ADBEEL
297,92,"Also called ADDON, uncertain whether person or town","",ADDAN
298,93,A venomous serpent,"",ADDER
299,95,A Benjamite,"",ADER
300,96,1. A man of the tribe of Simeon,"",ADIEL
301,96,2. A priest,"",ADIEL
302,96,3. Father of Azmaveth,"",ADIEL
303,97,A Jewish captive,"",ADIN
304,98,One of David's heroes,"",ADINA
305,99,One of David's valiant men,"",ADINO
306,100,A city of Judah,"",ADITHAIM
307,101,TO BE AVOIDED,"",ADJUDICATION AT LAW
308,102,Father of Shaphat,"",ADLAI
309,103,A city in the vale of Siddim,"",ADMAH
310,104,A Persian prince,"",ADMATHA
311,106,1. A son of Pahath-Moab,"",ADNA
312,106,2. A priest,"",ADNA
313,107,1. One of David's captains,"",ADNAH
314,107,2. A military chief,"",ADNAH
315,108,King of Bezek,"",ADONI-BEZEK
316,109,1. Son of David and Haggith,"",ADONIJAH
317,109,1. Son of David and Haggith,"Usurpation of, and downfall",ADONIJAH
318,109,1. Son of David and Haggith,Executed by Solomon,ADONIJAH
319,109,2. A Levite,"",ADONIJAH
320,110,"Also called ADONIJAH, a Jew who returned with Ezra from","",ADONIKAM
321,111,"Also called ADORAM, a tax gatherer","",ADONIRAM
322,112,A king of Jerusalem,"",ADONI-ZEDEK
323,113,General scriptures concerning,"",ADOPTION
324,113,OF CHILDREN. INSTANCES OF,Of Joseph's sons,ADOPTION
325,113,OF CHILDREN. INSTANCES OF,Of Moses,ADOPTION
326,113,OF CHILDREN. INSTANCES OF,Of Esther,ADOPTION
327,113,SPIRITUAL,"",ADOPTION
328,113,"TYPIFIED, in Israel","",ADOPTION
329,114,A city of Judah,"",ADORAIM
330,115,1. Officer over the tribute,"",ADORAM
331,116,1. An Assyrian idol,"",ADRAMMELECH
332,116,2. Son of Sennacherib,"",ADRAMMELECH
333,117,A city of Mysia,"",ADRAMYTTIUM
334,118,Sea of,"",ADRIA
335,119,Saul's son-in-law,"",ADRIEL
336,120,1. A cave near the Dead Sea,David takes refuge in,ADULLAM
337,120,1. A cave near the Dead Sea,See titles of,ADULLAM
338,120,2. An ancient city of Canaan,"",ADULLAM
339,121,General scriptures concerning,"",ADULTERY
340,121,FORBIDDEN,"",ADULTERY
341,121,FORGIVENESS OF. INSTANCES OF,"",ADULTERY
342,121,PENALTIES FOR,"",ADULTERY
343,121,FIGURATIVE,"",ADULTERY
344,121,INSTANCES OF,Sodomites,ADULTERY
345,121,INSTANCES OF,Lot,ADULTERY
346,121,INSTANCES OF,Shechem,ADULTERY
347,121,INSTANCES OF,Reuben,ADULTERY
348,121,INSTANCES OF,Judah,ADULTERY
349,121,INSTANCES OF,Potiphar's wife,ADULTERY
350,121,INSTANCES OF,The Levite's concubine,ADULTERY
351,121,INSTANCES OF,The Gibeahites,ADULTERY
352,121,INSTANCES OF,Gilead,ADULTERY
353,121,INSTANCES OF,Samson,ADULTERY
354,121,INSTANCES OF,Sons of Eli,ADULTERY
355,121,INSTANCES OF,David,ADULTERY
356,121,INSTANCES OF,Amnon,ADULTERY
357,121,INSTANCES OF,Absalom,ADULTERY
358,121,INSTANCES OF,Israelites,ADULTERY
359,121,INSTANCES OF,Herod,ADULTERY
360,121,INSTANCES OF,The Samaritan woman,ADULTERY
361,121,INSTANCES OF,The woman brought to Jesus in the temple,ADULTERY
362,121,INSTANCES OF,Corinthians,ADULTERY
363,121,INSTANCES OF,Heathen,ADULTERY
364,122,A place on the road leading from the fords of the Jordan to,"",ADUMMIM
365,125,Tertullus,"",ADVOCATE
366,125,FIGURATIVE,"",ADVOCATE
367,126,Healed,"",AENEAS
368,128,Should be supremely set upon God,"",AFFECTIONS
369,128,Should be set upon the commandments of God,"",AFFECTIONS
370,128,Should be set upon the house and worship of God,"",AFFECTIONS
371,128,Should be set upon the people of God,"",AFFECTIONS
372,128,Should be set upon heavenly things,"",AFFECTIONS
373,128,Should be zealously engaged for God,"",AFFECTIONS
374,128,Christ claims the first place in,"",AFFECTIONS
375,128,Enkindled by communion with Christ,"",AFFECTIONS
376,128,Blessedness of making God the object of,"",AFFECTIONS
377,128,Should not grow cold,"",AFFECTIONS
378,128,"Of saints, supremely set on God","",AFFECTIONS
379,128,"Of the wicked, not sincerely set on God","",AFFECTIONS
380,128,"Carnal, should be mortified","",AFFECTIONS
381,128,Carnal affections crucified in saints,"",AFFECTIONS
382,128,False teachers seek to captivate,"",AFFECTIONS
383,128,"Of the wicked, are unnatural and perverted","",AFFECTIONS
384,129,DUTY TO THE,"",AFFLICTED
385,130,MISCELLANY OF MINOR SUB-TOPICS,God regulates the measure of afflictions,AFFLICTIONS
386,130,MISCELLANY OF MINOR SUB-TOPICS,Determines the continuance of,AFFLICTIONS
387,130,MISCELLANY OF MINOR SUB-TOPICS,Does not willingly send,AFFLICTIONS
388,130,MISCELLANY OF MINOR SUB-TOPICS,Man is born to,AFFLICTIONS
389,130,MISCELLANY OF MINOR SUB-TOPICS,Saints appointed to,AFFLICTIONS
390,130,MISCELLANY OF MINOR SUB-TOPICS,Consequent upon the fall,AFFLICTIONS
391,130,MISCELLANY OF MINOR SUB-TOPICS,Sin produces,AFFLICTIONS
392,130,MISCELLANY OF MINOR SUB-TOPICS,Sinners corrected by,AFFLICTIONS
393,130,MISCELLANY OF MINOR SUB-TOPICS,Often severe,AFFLICTIONS
394,130,MISCELLANY OF MINOR SUB-TOPICS,Always less than deserved,AFFLICTIONS
395,130,MISCELLANY OF MINOR SUB-TOPICS,"Results of, good",AFFLICTIONS
396,130,MISCELLANY OF MINOR SUB-TOPICS,Tempered with mercy,AFFLICTIONS
397,130,OF SAINTS,To be expected,AFFLICTIONS
398,130,OF SAINTS,Comparatively light,AFFLICTIONS
399,130,OF SAINTS,Temporary,AFFLICTIONS
400,130,OF SAINTS,Joy under,AFFLICTIONS
401,130,OF SAINTS,End in joy and blessedness,AFFLICTIONS
402,130,OF SAINTS,Often arise from the profession of the gospel,AFFLICTIONS
403,130,OF SAINTS,Exhibit the love and faithfulness of God,AFFLICTIONS
404,130,OF THE WICKED,God is glorified in,AFFLICTIONS
405,130,OF THE WICKED,God holds in derision,AFFLICTIONS
406,130,OF THE WICKED,Are multiplied,AFFLICTIONS
407,130,OF THE WICKED,Continual,AFFLICTIONS
408,130,OF THE WICKED,Often sudden,AFFLICTIONS
409,130,OF THE WICKED,Are often judicially sent,AFFLICTIONS
410,130,OF THE WICKED,Are for examples to others,AFFLICTIONS
411,130,OF THE WICKED,Are ineffectual for their conversion,AFFLICTIONS
412,130,OF THE WICKED,"Their persecution of saints, a cause of",AFFLICTIONS
413,130,OF THE WICKED,Impenitence is a cause of,AFFLICTIONS
414,130,OF THE WICKED,Sometimes humble them,AFFLICTIONS
415,130,OF THE WICKED,Frequently harden,AFFLICTIONS
416,130,OF THE WICKED,Produce slavish fear,AFFLICTIONS
417,130,OF THE WICKED,Saints should not be alarmed at,AFFLICTIONS
418,130,Exemplified,In Pharaoh and the Egyptians,AFFLICTIONS
419,130,Exemplified,Ahaziah,AFFLICTIONS
420,130,Exemplified,Gehazi,AFFLICTIONS
421,130,Exemplified,Jehoram,AFFLICTIONS
422,130,Exemplified,Uzziah,AFFLICTIONS
423,130,Exemplified,"Ahaz, etc",AFFLICTIONS
424,130,FORSAKEN BY FRIENDS IN: INSTANCES OF,"",AFFLICTIONS
425,130,FORSAKEN BY FRIENDS IN: INSTANCES OF,David,AFFLICTIONS
426,130,FORSAKEN BY FRIENDS IN: INSTANCES OF,Jesus,AFFLICTIONS
427,130,FORSAKEN BY FRIENDS IN: INSTANCES OF,Paul,AFFLICTIONS
428,130,NATIONAL LESSONS FROM,"",AFFLICTIONS
429,130,UNCLASSIFIED SCRIPTURES RELATING TO,"",AFFLICTIONS
430,130,BENEFITS OF,See TEMPTATION,AFFLICTIONS
431,130,"BENEFITS OF, ILLUSTRATED","",AFFLICTIONS
432,130,Exemplified,Joseph's brethren,AFFLICTIONS
433,130,Exemplified,Joseph,AFFLICTIONS
434,130,Exemplified,Israel,AFFLICTIONS
435,130,Exemplified,Josiah,AFFLICTIONS
436,130,Exemplified,Hezekiah,AFFLICTIONS
437,130,Exemplified,Manasseh,AFFLICTIONS
438,130,Exemplified,Jonah,AFFLICTIONS
439,130,Exemplified,Prodigal son,AFFLICTIONS
440,130,CONSOLATION IN,"",AFFLICTIONS
441,130,DESIGN OF,See PRAYER ANSWERED,AFFLICTIONS
442,130,DESPONDENCY IN,"See BENEFITS OF, above",AFFLICTIONS
443,130,DISPENSATION OF GOD,"",AFFLICTIONS
444,130,FROM SATAN,"",AFFLICTIONS
445,130,MOCKING AT,"See OBDURACY IN, below",AFFLICTIONS
446,130,OBDURACY IN,See MURMURING,AFFLICTIONS
447,130,INSTANCES OF,Pharaoh,AFFLICTIONS
448,130,INSTANCES OF,Asa,AFFLICTIONS
449,130,INSTANCES OF,Ahaz,AFFLICTIONS
450,130,PENITENCE IN: INSTANCES OF,Pharaoh,AFFLICTIONS
451,130,PENITENCE IN: INSTANCES OF,David,AFFLICTIONS
452,130,PENITENCE IN: INSTANCES OF,Nebuchadnezzar,AFFLICTIONS
453,130,PENITENCE IN: INSTANCES OF,Levites,AFFLICTIONS
454,130,PRAYER IN,"",AFFLICTIONS
455,130,RESIGNATION IN,See INTERCESSION,AFFLICTIONS
456,130,"RESIGNATION IN, EXEMPLIFIED","",AFFLICTIONS
457,130,INSTANCES OF RESIGNATION IN,"Aaron, at the death of Nadab and Abihu",AFFLICTIONS
458,130,INSTANCES OF RESIGNATION IN,Against his house were foretold,AFFLICTIONS
459,130,INSTANCES OF RESIGNATION IN,"David, at the death of his child",AFFLICTIONS
460,130,INSTANCES OF RESIGNATION IN,The Shunammite woman,AFFLICTIONS
461,130,INSTANCES OF RESIGNATION IN,"Jesus, in Gethsemane",AFFLICTIONS
462,130,INSTANCES OF RESIGNATION IN,Paul and Silas in prison,AFFLICTIONS
463,131,A prophet,"",AGABUS
464,132,1. A king of the Amalekites,"",AGAG
465,132,"2. A king of the Amalekites, taken prisoner by Saul, and","",AGAG
466,134,A precious stone,"",AGATE
467,136,Gospel invitation to,"",AGED
468,137,Father of Shammah,"",AGEE
469,138,IN SALVATION OF MEN,"",AGENCY
470,138,IN EXECUTING JUDGMENTS,See PREACHING,AGENCY
471,140,Divine institution of,"",AGRICULTURE
472,140,Practiced by Cain,"",AGRICULTURE
473,140,Practiced by Noah,"",AGRICULTURE
474,140,Practiced by Elisha,"",AGRICULTURE
475,140,Practiced by David,"",AGRICULTURE
476,140,Practiced by Uzziah,"",AGRICULTURE
477,140,Practiced by Solomon,"",AGRICULTURE
478,140,God to be acknowledged in,"",AGRICULTURE
479,140,Requires wisdom,"",AGRICULTURE
480,140,Requires diligence,"",AGRICULTURE
481,140,Requires patience,"",AGRICULTURE
482,140,Requires toil,"",AGRICULTURE
483,140,"Persons engaged in, called husbandmen","",AGRICULTURE
484,140,Called laborers,"",AGRICULTURE
485,140,Called tiller of the ground,"",AGRICULTURE
486,140,"Planters of vineyards, exempted from military service","",AGRICULTURE
487,140,Fruits blasted because of sin,"",AGRICULTURE
488,140,LAWS CONCERNING,"",AGRICULTURE
489,140,FACTS ABOUT,"",AGRICULTURE
490,140,FIGURATIVE,Fallow ground,AGRICULTURE
491,140,FIGURATIVE,"Sowing wheat, but reaping thorns",AGRICULTURE
492,140,FIGURATIVE,Of the sower,AGRICULTURE
493,140,FIGURATIVE,Of the tares,AGRICULTURE
494,141,King,"",AGRIPPA
495,142,General scriptures concerning,"",AGUE
496,143,Son of Jakeh,"",AGUR
497,144,1. King of Israel,"",AHAB
498,144,1. King of Israel,Marries Jezebel,AHAB
499,144,1. King of Israel,Idolatry of,AHAB
500,144,1. King of Israel,Other wickedness of,AHAB
501,144,1. King of Israel,"Reproved by Elijah; assembles the prophets of Baal",AHAB
502,144,1. King of Israel,Fraudulently confiscates Naboth's vineyard,AHAB
503,144,1. King of Israel,Defeats Ben-hadad,AHAB
504,144,1. King of Israel,Closing history and death of,AHAB
505,144,1. King of Israel,"Succeeded by his son, Ahaziah",AHAB
506,144,1. King of Israel,Prophecies against,AHAB
